,StopLocationID,StopNameShort,StopNameLong,StopType,SuburbName,PostCode,RegionName,LocalGovernmentArea,StatDivision,GPSLat,GPSLong
7981,20235,Werribee Mansion,Werribee Park Mansion/Main Dr (Werribee South),Kerbside,Werribee South,3030.0,Wyndham,Wyndham,Greater Metro,-37.927234999999996,144.671828
7982,20236,Werribee Zoo,Werribee Zoo Bus Loop/Main Dr (Werribee South),Kerbside,Werribee South,3030.0,Wyndham,Wyndham,Greater Metro,-37.922827000000005,144.66753300000002
7983,20237,Rivercoast Road,Rivercoast Rd/Beach Rd (Werribee South),Kerbside,Werribee South,3030.0,Wyndham,Wyndham,Greater Metro,-37.971084000000005,144.68621100000001
7986,20438,Magnolia Road,Magnolia Rd/Gardenvale Rd (Gardenvale),Kerbside,Gardenvale,3185.0,Melbourne,Glen Eira,Greater Metro,-37.898047999999996,145.009881
7987,20439,Begonia Rd,Begonia Rd/Gardenvale Rd (Gardenvale),Kerbside,Gardenvale,3185.0,Melbourne,Glen Eira,Greater Metro,-37.897758,145.007469
7988,20574,Bentleigh Station,Bentleigh Railway Station/Centre Rd (Bentleigh),Kerbside,Bentleigh,3204.0,Melbourne,Glen Eira,Greater Metro,-37.918203999999996,145.037326
7989,20575,Bent St,Bent St/Centre Rd (Bentleigh),Kerbside,Bentleigh,3204.0,Melbourne,Glen Eira,Greater Metro,-37.918273,145.037836
7990,20577,McKinnon Station,McKinnon Railway Station/McKinnon Rd (Mckinnon),Kerbside,Mckinnon,3204.0,Melbourne,Glen Eira,Greater Metro,-37.911,145.03843999999998
7991,20578,McKinnon Station,McKinnon Railway Station/158 McKinnon Rd (Mckinnon),Kerbside,Mckinnon,3204.0,Melbourne,Glen Eira,Greater Metro,-37.911120000000004,145.038373
7992,20583,Caulfield Station,Caulfield Railway Station/Sir John Monash Dr (Caulfield East),Kerbside,Caulfield East,3145.0,Melbourne,Glen Eira,Greater Metro,-37.876946000000004,145.04232
7993,20648,Vadlure Avenue - Stop 41,41-Vadlure Ave/Balaclava Rd (Caulfield North),Kerbside,Caulfield North,3161.0,Melbourne,Glen Eira,Greater Metro,-37.869703,145.001579
7994,20649,Saturn Street,Saturn St/Kooyong Rd (Caulfield South),Kerbside,Caulfield South,3162.0,Melbourne,Glen Eira,Greater Metro,-37.896648,145.012892
7996,11342,Wimborne Av,Wimborne Ave/Mount Eliza Way (Mount Eliza),Bus Bay,Mount Eliza,3930.0,Melbourne,Mornington Peninsula,Greater Metro,-38.186953,145.08948999999998
7997,11343,Coonara Av,Coonara Ave/Mount Eliza Way (Mount Eliza),Bus Bay,Mount Eliza,3930.0,Melbourne,Mornington Peninsula,Greater Metro,-38.193831,145.090588
7998,11344,Koetong Pde,Koetong Pde/Nepean Hwy (Mount Eliza),Bus Bay,Mount Eliza,3930.0,Melbourne,Mornington Peninsula,Greater Metro,-38.196228999999995,145.08890300000002
7999,11345,Kunyung Rd,Kunyung Rd/Nepean Hwy (Mount Eliza),Bus Bay,Mount Eliza,3930.0,Melbourne,Mornington Peninsula,Greater Metro,-38.199092,145.084035
8000,11346,Volitans Ave,Volitans Ave/Nepean Hwy (Mount Eliza),Kerbside,Mount Eliza,3930.0,Melbourne,Mornington Peninsula,Greater Metro,-38.202696,145.079104
8001,11844,Point Nepean National Park  (Portsea),Point Nepean  National Park Entrance/Point Nepean Rd (Portsea),Kerbside,Portsea,3944.0,Mornington Peninsula,Mornington Peninsula,Greater Metro,-38.318893,144.704912
8002,11845,Delgany Av,Delgany Ave/Point Nepean Rd (Portsea),Kerbside,Portsea,3944.0,Mornington Peninsula,Mornington Peninsula,Greater Metro,-38.319691999999996,144.710319
8007,12004,Baxter Crescent,Baxter Railway Station/Baxter-Tooradin (South) Rd (Baxter),Kerbside,Baxter,3911.0,Mornington Peninsula,Mornington Peninsula,Greater Metro,-38.195409999999995,145.15763
8014,12127,Wallaroo Place,Wallaroo Pl/Tambar Pl (Hastings),Kerbside,Hastings,3915.0,Mornington Peninsula,Mornington Peninsula,Greater Metro,-38.29907,145.17381799999998
8021,12135,Somerville Plaza SC,Somerville Plaza Shopping Centre/Eramosa Rd (Somerville),Kerbside,Somerville,3912.0,Mornington Peninsula,Mornington Peninsula,Greater Metro,-38.223420000000004,145.17238
8022,12136,Graf Road,Graf Rd/Eramosa Rd (Somerville),Bus Bay,Somerville,3912.0,Mornington Peninsula,Mornington Peninsula,Greater Metro,-38.22299,145.16956000000002
8027,12282,Bay Rd,Bay Rd/Esplanade (Mount Martha),Bus Bay,Mount Martha,3934.0,Mornington Peninsula,Mornington Peninsula,Greater Metro,-38.267571000000004,145.012698
8036,21008,Blackburn Station,Blackburn Railway Station/South Pde (Blackburn),Bus Bay,Blackburn,3130.0,Melbourne,Whitehorse,Greater Metro,-37.820458,145.150882
8037,21009,Blackburn Station,Blackburn Railway Station/South Pde (Blackburn),Bus Bay,Blackburn,3130.0,Melbourne,Whitehorse,Greater Metro,-37.820370000000004,145.15091
8038,21010,Blackburn Station,Blackburn Railway Station/South Pde (Blackburn),Bus Bay,Blackburn,3130.0,Melbourne,Whitehorse,Greater Metro,-37.820471000000005,145.150328
8039,21044,Springvale Road,Springvale Rd/Springfield Rd (Nunawading),Kerbside,Nunawading,3131.0,Melbourne,Whitehorse,Greater Metro,-37.813186,145.17598700000002
8041,21048,Mitcham Station,Mitcham Station/Colombo St (Mitcham),Bus Bay,Mitcham,3132.0,Melbourne,Whitehorse,Greater Metro,-37.81805,145.19217
8042,21056,Todd Road,Todd Rd/Wharf Rd (Port Melbourne),Kerbside,Port Melbourne,3207.0,Melbourne,Melbourne,Greater Metro,-37.827869,144.908874
8043,21094,Warrigal Road - Stop 58,58-Warrigal Rd/Burwood Hwy (Burwood),Safety Zone,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.850429999999996,145.09588
8044,21095,Somers Street - Stop 59,59-Somers St/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.85066,145.09905
8045,21096,Gilmour Street - Stop 59,59-Gilmour St/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.85078,145.09904
8048,21099,Presbyterian Ladies College - Stop 61,61-Presbyterian Ladies College/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.84997,145.10548
8049,21100,Presbyterian Ladies College - Stop 61,61-Presbyterian Ladies College/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.85004,145.10574
8050,21101,Elgar Road - Stop 62,62-Elgar Rd/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.84949,145.10882
8051,21102,Elgar Road - Stop 62,62-Elgar Rd/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.84959,145.10844
8052,21103,Deakin University - Stop 63,63-Deakin University/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.849990000000005,145.11524
8053,21104,Deakin University - Stop 63,63-Deakin University/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.85007,145.11523
8054,21105,Station Street - Stop 64,64-Station St/Burwood Hwy (Burwood),Platform,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.85055,145.11933
8058,21109,Middleborough Road - Stop 66,66-Middleborough Rd/Burwood Hwy (Burwood),Safety Zone,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.85202,145.13183999999998
8059,21110,Middleborough Road - Stop 66,66-Middleborough Rd/Burwood Hwy (Burwood),Safety Zone,Burwood,3125.0,Melbourne,Whitehorse,Greater Metro,-37.85205,145.13329
8060,21111,Old Burwood Road - Stop 67,67-Old Burwood Rd/Burwood Hwy (Burwood East),Platform,Burwood East,3151.0,Melbourne,Whitehorse,Greater Metro,-37.85145,145.13818
8063,21114,Benwerrin Reserve - Stop 68,68-Benwerrin Reserve/Burwood Hwy (Burwood East),Platform,Burwood East,3151.0,Melbourne,Whitehorse,Greater Metro,-37.85138,145.14198000000002
8065,21116,Highview Grove - Stop 69,69-Highview Gr/Burwood Hwy (Burwood East),Platform,Burwood East,3151.0,Melbourne,Whitehorse,Greater Metro,-37.85194,145.14633999999998
8066,21117,Blackburn Road - Stop 70,70-Blackburn Rd/Burwood Hwy (Burwood East),Platform,Burwood East,3151.0,Melbourne,Whitehorse,Greater Metro,-37.852624,145.1515
8067,21118,Blackburn Road - Stop 70,70-Blackburn Rd/Burwood Hwy (Burwood East),Platform,Burwood East,3151.0,Melbourne,Whitehorse,Greater Metro,-37.852565000000006,145.151508
8068,21119,Sevenoaks Road - Stop 71,71-Sevenoaks Rd/Burwood Hwy (Burwood East),Platform,Burwood East,3151.0,Melbourne,Whitehorse,Greater Metro,-37.853590000000004,145.15856000000002
8069,21120,Sevenoaks Road - Stop 71,71-Sevenoaks Rd/Burwood Hwy (Burwood East),Platform,Burwood East,3151.0,Melbourne,Whitehorse,Greater Metro,-37.853590000000004,145.15898
8072,21123,Springvale Road - Stop 73,73-Springvale Rd/Burwood Hwy (Burwood East),Platform,Burwood East,3151.0,Melbourne,Whitehorse,Greater Metro,-37.85479,145.16816
8073,21124,Springvale Road - Stop 73,73-Springvale Rd/Burwood Hwy (Vermont South),Platform,Vermont South,3133.0,Melbourne,Whitehorse,Greater Metro,-37.85492,145.17027
8075,21126,Stanley Road - Stop 74,74-Stanley Rd/Burwood Hwy (Vermont South),Platform,Vermont South,3133.0,Melbourne,Whitehorse,Greater Metro,-37.855540000000005,145.17458
8100,47753,Sussex St,Sussex St/Gaffney St (Pascoe Vale),Kerbside,Pascoe Vale,3044.0,Melbourne,Moreland,Greater Metro,-37.7327,144.9488
8106,47759,Northumberland Rd,Northumberland Rd/Gaffney St (Pascoe Vale),Kerbside,Pascoe Vale,3044.0,Melbourne,Moreland,Greater Metro,-37.7307,144.9317
8110,47763,Derby St,Derby St/Gaffney St (Pascoe Vale),Kerbside,Pascoe Vale,3044.0,Melbourne,Moreland,Greater Metro,-37.7322,144.9452
8114,47767,Coburg Lake Reserve,Coburg Lake Reserve/Stockade Ave (Coburg),Kerbside,Coburg,3058.0,Melbourne,Moreland,Greater Metro,-37.7357,144.9705
8117,7253,Park St,Park St/Mt Alexander Rd (Moonee Ponds),Kerbside,Moonee Ponds,3039.0,Melbourne,Moonee Valley,Greater Metro,-37.761935,144.921581
8118,7254,St James St,St James St/Mt Alexander Rd (Essendon),Kerbside,Essendon,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.75995,144.92032
8119,7255,Buckley St,Buckley St/Mt Alexander Rd (Essendon),Kerbside,Essendon,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.757286,144.918679
8120,7257,Essendon North Primary School,Essendon North Primary School/Keilor Rd (Essendon),Kerbside,Essendon,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.741469,144.902498
8121,7258,Hoffmans Rd,Hoffmans Rd/Keilor Rd (Essendon),Kerbside,Essendon,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.737443,144.892515
8136,7347,Glamis Drive,Milleara Primary School/The Crossway South (Avondale Heights),Kerbside,Avondale Heights,3034.0,Melbourne,Moonee Valley,Greater Metro,-37.754133,144.856051
8140,7391,Yarra View Retirement Village,Yarra View Retirement Village/Warburton Hwy (Warburton),Bus Bay,Warburton,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.75273,145.70266999999998
8141,7392,Park Road,Park Rd/Warburton Hwy (Warburton),Kerbside,Warburton,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.75332,145.697
8142,7393,Warburton CFA,Warburton CFA/Warburton Hwy (Warburton),Kerbside,Warburton,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.75335,145.6908
8145,7396,Scotchmans Creek Road,Scotchmans Creek Rd/Warburton Hwy (Warburton),Bus Bay,Warburton,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.755364,145.67963600000002
8146,7397,Hooks Road,Hooks Rd/Warburton Hwy (Warburton),Bus Bay,Warburton,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.7545,145.6677
8147,7398,McKenzie-King Drive,Mckenzie - King Dr/Warburton Hwy (Millgrove),Bus Bay,Millgrove,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.753211,145.656974
8148,7399,Millgrove CFA,Millgrove CFA/Warburton Hwy (Millgrove),Bus Bay,Millgrove,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.7545,145.6541
8150,7401,Edward Street,Edward St/Warburton Hwy (Wesburn),Kerbside,Wesburn,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.7671,145.6454
8151,7402,Wesburn Park,Wesburn Park/Warburton Hwy (Wesburn),Bus Bay,Wesburn,3799.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.773139,145.64616999999998
8154,7405,Bleaches Lane,Bleaches Lane/Warburton Hwy (Yarra Junction),Bus Bay,Yarra Junction,3797.0,Yarra Ranges,Yarra Ranges,Greater Metro,-37.78083,145.63658999999998
8159,18967,Camberwell Station - Stop 64,64-Camberwell Station/Burke Rd (Hawthorn East),Kerbside,Hawthorn East,3123.0,Melbourne,Boroondara,Greater Metro,-37.82605,145.05763000000002
8160,18968,Victoria Road - Stop 65,65-Victoria Rd/Burke Rd (Hawthorn East),Kerbside,Hawthorn East,3123.0,Melbourne,Boroondara,Greater Metro,-37.82358,145.05813
8161,18969,Rathmines Road - Stop 66,66-Rathmines Rd/Burke Rd (Hawthorn East),Kerbside,Hawthorn East,3123.0,Melbourne,Boroondara,Greater Metro,-37.82148,145.0585
8165,19036,Cotham Road - Stop 70,70-Cotham Rd/Burke Rd (Kew),Safety Zone,Kew,3101.0,Melbourne,Boroondara,Greater Metro,-37.81087,145.0606
8166,19037,Peverill Street - Stop 69,69-Peverill St/Burke Rd (Balwyn),Kerbside,Balwyn,3103.0,Melbourne,Boroondara,Greater Metro,-37.81411,145.06007
8167,19038,Mont Albert Road - Stop 68,68-Mont Albert Rd/Burke Rd (Camberwell),Kerbside,Camberwell,3124.0,Melbourne,Boroondara,Greater Metro,-37.81578,145.05975
8168,19039,Camberwell Girls Grammar - Stop 67,67-Camberwell Girls Grammar/Burke Rd (Canterbury),Kerbside,Canterbury,3126.0,Melbourne,Boroondara,Greater Metro,-37.818490000000004,145.05921
8171,19042,Camberwell Station - Stop 64,64-Camberwell Station/Burke Rd (Camberwell),Kerbside,Camberwell,3124.0,Melbourne,Boroondara,Greater Metro,-37.82597,145.05783
8172,19043,Prospect Hill Road - Stop 63,63-Prospect Hill Rd/Burke Rd (Camberwell),Kerbside,Camberwell,3124.0,Melbourne,Boroondara,Greater Metro,-37.82797,145.05743999999999
8173,19044,Camberwell Junction - Stop 61,61-Camberwell Junction/Burke Rd (Camberwell),Kerbside,Camberwell,3124.0,Melbourne,Boroondara,Greater Metro,-37.83109,145.05684
8174,19045,Reserve Road - Stop 60,60-Reserve Rd/Burke Rd (Camberwell),Kerbside,Camberwell,3124.0,Melbourne,Boroondara,Greater Metro,-37.833890000000004,145.05631
8179,19050,Middle Road - Stop 55,55-Middle Rd/Burke Rd (Camberwell),Kerbside,Camberwell,3124.0,Melbourne,Boroondara,Greater Metro,-37.84366,145.05445
8183,19054,Gardiner Station - Stop 51,51-Gardiner Station/Burke Rd (Glen Iris),Platform,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.852958,145.052659
8185,19056,Glenarm Road - Stop 50,50-Glenarm Rd/Malvern Rd (Glen Iris),Kerbside,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.854420000000005,145.0513
8187,19058,Edgar Street - Stop 48,48-Edgar St/Malvern Rd (Glen Iris),Kerbside,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.85373,145.04583
8189,19228,Reservoir Station,Reservoir Railway Station/High St (Reservoir),Bus Bay,Reservoir,3073.0,Melbourne,Darebin,Greater Metro,-37.7174,145.0072
8190,19229,Reservoir Station,Reservoir Railway Station/High St (Reservoir),Bus Bay,Reservoir,3073.0,Melbourne,Darebin,Greater Metro,-37.717511,145.007224
8191,19230,Reservoir Station,Reservoir Railway Station/High St (Reservoir),Bus Bay,Reservoir,3073.0,Melbourne,Darebin,Greater Metro,-37.71767,145.00718
8192,19231,Reservoir Station,Reservoir Railway Station/High St (Reservoir),Bus Bay,Reservoir,3073.0,Melbourne,Darebin,Greater Metro,-37.717690999999995,145.006713
8194,19244,East Kew Terminus,East Kew Junction/Valerie St (Kew East),Bus Bay,Kew East,3102.0,Melbourne,Boroondara,Greater Metro,-37.798974,145.04931299999998
8195,19245,East Kew Terminus,East Kew Junction/Valerie St (Kew East),Bus Bay,Kew East,3102.0,Melbourne,Boroondara,Greater Metro,-37.7993,145.04959
8236,13951,McNamara Road,McNamara Rd/Belgrave-Gembrook Rd (Avonsleigh),Kerbside,Avonsleigh,3782.0,Cardinia,Cardinia,Greater Metro,-37.922596,145.472281
8237,13952,Margaret Road,Margaret Rd/Belgrave-Gembrook Rd (Avonsleigh),Kerbside,Avonsleigh,3782.0,Cardinia,Cardinia,Greater Metro,-37.921728,145.469111
8238,13953,Macclesfield Road,Macclesfield Rd/Belgrave-Gembrook Rd (Avonsleigh),Bus Bay,Avonsleigh,3782.0,Cardinia,Cardinia,Greater Metro,-37.921547,145.466102
8240,13956,Beaconsfield-Emerald Road,Beaconsfield-Emerald Rd/Belgrave-Gembrook Rd (Emerald),Bus Bay,Emerald,3782.0,Cardinia,Cardinia,Greater Metro,-37.929021,145.445083
8241,13957,Emerald Village,Emerald Village/Main St (Emerald),Bus Bay,Emerald,3782.0,Cardinia,Cardinia,Greater Metro,-37.932113,145.441329
8242,13958,Memorial Avenue,Memorial Ave/Belgrave-Gembrook Rd (Emerald),Bus Bay,Emerald,3782.0,Cardinia,Cardinia,Greater Metro,-37.932190000000006,145.437783
8247,13964,Church Road,Church Rd/Belgrave-Gembrook Rd (Menzies Creek),Kerbside,Menzies Creek,3159.0,Yarra Ranges,Cardinia,Greater Metro,-37.919173,145.403841
8251,18335,Michael Street,Michael St/Princes Hwy (Pakenham),Kerbside,Pakenham,3810.0,Melbourne,Cardinia,Greater Metro,-38.061863,145.456062
8252,19880,Pakenham,Pakenham Railway Station (Pakenham),Platform,Pakenham,3810.0,Melbourne,Cardinia,Greater Metro,-38.080612,145.486374
8253,19881,Officer,Officer Railway Station (Officer),Platform,Officer,3809.0,Melbourne,Cardinia,Greater Metro,-38.066142,145.410992
8254,19882,Beaconsfield,Beaconsfield Railway Station (Beaconsfield),Platform,Beaconsfield,3807.0,Melbourne,Cardinia,Greater Metro,-38.050828,145.36606899999998
8259,21221,Beaconsfield Station,Beaconsfield Railway Station/Beaconsfield Ave (Beaconsfield),Kerbside,Beaconsfield,3807.0,Melbourne,Cardinia,Greater Metro,-38.050634,145.366772
8260,21223,Beaconsfield Plaza,Beaconsfield Plaza/Woods St (Beaconsfield),Kerbside,Beaconsfield,3807.0,Melbourne,Cardinia,Greater Metro,-38.045369,145.36754
8263,21444,Pakenham Hills Primary School,Pakenham Hills Primary School/Army Rd (Pakenham),Bus Bay,Pakenham,3810.0,Melbourne,Cardinia,Greater Metro,-38.061475,145.49647
8266,21447,Harness Place,Harness Pl/Barrington Dr (Pakenham),Kerbside,Pakenham,3810.0,Melbourne,Cardinia,Greater Metro,-38.075298,145.500713
8271,21452,Racecourse Road,Racecourse Rd/Cameron Way (Pakenham),Kerbside,Pakenham,3810.0,Melbourne,Cardinia,Greater Metro,-38.077453000000006,145.49386
8275,21496,Meadowvale Retirement Village,Meadowvale Retirement Village/Eagle Dr (Pakenham),Kerbside,Pakenham,3810.0,Melbourne,Cardinia,Greater Metro,-38.06852,145.48073200000002
8276,14083,Walker Cl,Walker Cl/Millers Rd (Altona North),Kerbside,Altona North,3025.0,Melbourne,Hobsons Bay,Greater Metro,-37.833339,144.847777
8277,14084,McArthurs Rd,McArthurs Rd/Millers Rd (Altona North),Kerbside,Altona North,3025.0,Melbourne,Hobsons Bay,Greater Metro,-37.834927,144.847505
8278,14085,Mason St,Mason St/Millers Rd (Altona North),Bus Bay,Altona North,3025.0,Melbourne,Hobsons Bay,Greater Metro,-37.838761,144.846816
8279,14086,Ross Rd,Ross Rd/Millers Rd (Altona North),Kerbside,Altona North,3025.0,Melbourne,Hobsons Bay,Greater Metro,-37.848399,144.845186
8283,14090,Civic Parade,Civic Pde/Millers Rd (Altona),Kerbside,Altona,3018.0,Melbourne,Hobsons Bay,Greater Metro,-37.865883000000004,144.838891
8289,14096,Altona Primary School,Altona Primary School/Blyth St (Altona),Kerbside,Altona,3018.0,Melbourne,Hobsons Bay,Greater Metro,-37.867652,144.823146
8290,14097,Rayner Street,Rayner St/Blyth St (Altona),Kerbside,Altona,3018.0,Melbourne,Hobsons Bay,Greater Metro,-37.868292,144.821225
8291,14098,Grieve Parade,Grieve Pde/Blyth St (Altona),Kerbside,Altona,3018.0,Melbourne,Hobsons Bay,Greater Metro,-37.869133000000005,144.818254
8293,14100,Blyth Street,167 Blyth St (Altona),Kerbside,Altona,3018.0,Melbourne,Hobsons Bay,Greater Metro,-37.870016,144.81403600000002
8295,14102,Myrtle Grove,Myrtle Gr/Maidstone St (Altona),Kerbside,Altona,3018.0,Melbourne,Hobsons Bay,Greater Metro,-37.872474,144.812925
8297,14104,Altona Sports Centre,Altona Sports Centre/Queen St (Altona),Bus Bay,Altona,3018.0,Melbourne,Hobsons Bay,Greater Metro,-37.875482,144.796707
8298,14105,Victoria Street,Victoria St/Queen St (Altona Meadows),Kerbside,Altona Meadows,3028.0,Melbourne,Hobsons Bay,Greater Metro,-37.873579,144.787178
8300,14107,Queen Street,Queen St/Victoria St (Altona Meadows),Kerbside,Altona Meadows,3028.0,Melbourne,Hobsons Bay,Greater Metro,-37.874395,144.786147
8301,14108,Nelson Avenue,Nelson Ave/Victoria St (Altona Meadows),Kerbside,Altona Meadows,3028.0,Melbourne,Hobsons Bay,Greater Metro,-37.880666999999995,144.785398
8302,14130,Marigold Ave,Marigold Ave/Millers Rd (Altona North),Kerbside,Altona North,3025.0,Melbourne,Hobsons Bay,Greater Metro,-37.826871000000004,144.84912
8304,14133,McArthurs Rd,McArthurs Rd/Millers Rd (Altona North),Kerbside,Altona North,3025.0,Melbourne,Hobsons Bay,Greater Metro,-37.835596,144.847652
8316,2957,Mitre Cr,Mitre Cres/Ballarto Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.112942,145.159852
8317,2958,Frankston Gardens Dr,Frankston Gardens Dr/Frankston-Dandenong Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.106959,145.164975
8320,2961,Hall Rd,Hall Rd/Frankston-Dandenong Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.098909,145.172853
8321,2962,Tuxen Ave,Tuxen Ave/Frankston-Dandenong Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.094736,145.176251
8322,2963,Bawden St,Bawden St/Frankston-Dandenong (West) Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.091313,145.179021
8323,2964,Queen Beatrix Dr,Queen Beatrix Dr/Frankston-Dandenong Rd (Carrum Downs),Bus Bay,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.088429999999995,145.18113
8324,2965,Wedge Rd,Wedge Rd/Frankston-Dandenong Rd (Carrum Downs),Bus Bay,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.08554,145.18341999999998
8325,2968,Thompson Rd,Thompsons Rd/Frankston-Dandenong Rd (Carrum Downs),Bus Bay,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.074248,145.19279699999998
8326,2969,Bunurong Memorial Park,Bunurong Memorial Park/790 Frankston-Dandenong Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.06524,145.20018000000002
8328,2983,Whitewood Street,Whitewood St/Excelsior Dr (Frankston North),Kerbside,Frankston North,3200.0,Melbourne,Frankston,Greater Metro,-38.12246,145.16228999999998
8329,2984,Excelsior Drive,Excelsior Dr/Monterey Bvd (Frankston North),Kerbside,Frankston North,3200.0,Melbourne,Frankston,Greater Metro,-38.123808000000004,145.162226
8331,2986,Mahogany Rise PS,Mahogany Rise Primary School/Monterey Bvd (Frankston North),Kerbside,Frankston North,3200.0,Melbourne,Frankston,Greater Metro,-38.124243,145.155816
8334,2989,Eric Bell Reserve,Eric Bell Reserve/Forest Dr (Frankston North),Kerbside,Frankston North,3200.0,Melbourne,Frankston,Greater Metro,-38.12378,145.14784
8335,2990,Pine Street,Pine St/Forest Dr (Frankston North),Kerbside,Frankston North,3200.0,Melbourne,Frankston,Greater Metro,-38.12352,145.145581
8336,2991,Frankston-Dandenong Road,Frankston-Dandenong Rd/Forest Dr (Frankston North),Kerbside,Frankston North,3200.0,Melbourne,Frankston,Greater Metro,-38.122236,145.143968
8341,2997,Overton Rd,Overton Rd/Dandenong Rd (Frankston),Kerbside,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.131322999999995,145.130837
8343,2999,Mereweather Ave,Mereweather Ave/Dandenong Rd (Frankston),Kerbside,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.136039000000004,145.128772
8350,3011,Shearwater Drive,Botany Park/Lyrebird Dr (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.11203,145.1726
8398,8290,Bradman Drive,Bradman Dr/Malmsbury Dr (Meadow Heights),Kerbside,Meadow Heights,3048.0,Melbourne,Hume,Greater Metro,-37.662198,144.914717
8401,8293,Woodburn Crescent,Woodburn Cres/Malmsbury Dr (Meadow Heights),Kerbside,Meadow Heights,3048.0,Melbourne,Hume,Greater Metro,-37.65627,144.91669
8402,8294,Malmsbury Drive,90 Malmsbury Dr (Meadow Heights),Kerbside,Meadow Heights,3048.0,Melbourne,Hume,Greater Metro,-37.65455,144.91891
8408,8551,Broadmeadows Town Park,Broadmeadows Town Park/Pearcedale Pde (Broadmeadows),Kerbside,Broadmeadows,3047.0,Melbourne,Hume,Greater Metro,-37.679254,144.918192
8409,8552,Coleraine St,Coleraine St (Broadmeadows),Kerbside,Broadmeadows,3047.0,Melbourne,Hume,Greater Metro,-37.677912,144.92158700000002
8410,8553,Girgarre St,Girgarre St/Pascoe Vale Rd (Broadmeadows),Bus Bay,Broadmeadows,3047.0,Melbourne,Hume,Greater Metro,-37.669978,144.924039
8416,8560,Meadow Heights SC,Meadow Heights Shopping Centre/Hudson Cct (Meadow Heights),Kerbside,Meadow Heights,3048.0,Melbourne,Hume,Greater Metro,-37.649978000000004,144.92148500000002
8417,8562,Paringa Boulevard,Paringa Bvd/Shankland Bvd (Meadow Heights),Kerbside,Meadow Heights,3048.0,Melbourne,Hume,Greater Metro,-37.648302,144.919848
8421,8567,Magnolia Boulevard,Magnolia Bvd/Lightwood Cres (Meadow Heights),Kerbside,Meadow Heights,3048.0,Melbourne,Hume,Greater Metro,-37.64185,144.91733
8425,8574,McKenzie Crescent,McKenzie Cres/Roxburgh Park Dr (Roxburgh Park),Kerbside,Roxburgh Park,3064.0,Melbourne,Hume,Greater Metro,-37.625409999999995,144.92363999999998
8432,8615,McKell Avenue,McKell Ave/Elizabeth Dr (Sunbury),Kerbside,Sunbury,3429.0,Hume,Hume,Greater Metro,-37.569256,144.723108
